No_Rooms,Bathroom,Locality,Region,Longitude,Latitude,Furnished,Area,AC,Water_Heater,Dining_Set,Electricity,Bed,Access_Card,Kitchen,Fridge,Washing_Machine,TV,ATM,TV_Cable,Grocery,Internet,Swim_Pool,Laundry,Security,Basketball,Multipurpose_Room,Gym,Jogging,Tennis,Restaurant,Playground,Total_Facilities,AnnualPrice,FurnishedNew
1,1,Semanggi,Jakarta Selatan,106.819159,-6.226598,1,43.0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,23,96000000,Full
2,1,Kebon Jeruk,Jakarta Barat,106.756061,-6.192081,0,35.0,1,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,19,30000000,Semi
2,1,Kedoya,Jakarta Barat,106.757651,-6.186415,1,53.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,22,70000000,Full
2,2,Pondok Indah,Jakarta Selatan,106.7846,-6.272637,1,85.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,24,576000000,Full
2,1,Grogol,Jakarta Barat,106.796056,-6.153652,0,48.0,1,0,0,1,0,1,0,0,0,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,15,32000000,Non
2,1,Cempaka Putih,Jakarta Pusat,106.873191,-6.187929,1,33.0,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,21,60000000,Full
2,1,Kemayoran,Jakarta Pusat,106.850107,-6.14907,1,58.0,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,14,80000000,Full
3,2,Kemang,Jakarta Selatan,106.811453,-6.259374,1,132.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,22,240000000,Full
2,1,Pancoran,Jakarta Selatan,106.851836,-6.257163,1,33.0,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,20,45400000,Full
2,1,Cempaka Putih,Jakarta Pusat,106.873191,-6.187929,0,33.0,1,0,0,1,0,1,0,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,17,33000000,Non
2,1,Kelapa Gading,Jakarta Utara,106.900954,-6.168483,1,46.0,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,19,34000000,Full
0,1,Sunter,Jakarta Utara,106.88373,-6.157527,1,22.0,1,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,19,24000000,Full
2,1,Pondok Bambu,Jakarta Timur,106.89933,-6.224079,0,50.0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,13,35000000,Non
2,1,Kuningan,Jakarta Selatan,106.83676,-6.218768,1,76.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,24,85200000,Full
2,1,Daan Mogot,Jakarta Barat,106.7354,-6.1557,0,42.0,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,35000000,Non
1,1,Pancoran,Jakarta Selatan,106.842971,-6.24805,1,65.0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,21,120000000,Full
2,1,Kebon Jeruk,Jakarta Barat,106.756061,-6.192081,1,35.0,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,20,48000000,Full
0,1,Kebayoran Lama,Jakarta Selatan,106.769194,-6.237472,1,23.0,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,18,43500000,Full
0,1,Kebon Jeruk,Jakarta Barat,106.762396,-6.200106,1,22.0,1,0,0,1,1,1,1,1,0,1,0,1,0,1,1,1,1,0,1,1,1,0,0,0,15,38000000,Full
1,1,Pondok Indah,Jakarta Selatan,106.791409,-6.282965,1,56.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,24,150000000,Full
