Region,Locality,Longitude,Latitude
Bekasi,Bekasi,107.0099,-6.25352
Bekasi,Bekasi Timur,107.0205,-6.2597
Bekasi,Cikarang,107.14643636363635,-6.317336363636364
Bekasi,Kalimalang,107.0141,-6.261266666666667
Bekasi,Lippo Cikarang,107.1344,-6.3294
Bekasi,Pekayon,106.98488823529412,-6.250652941176471
Bekasi,Summarecon Bekasi,106.99900000000001,-6.222400000000001
Bogor,Sentul,106.8608,-6.5646
Bogor,Tanah Sareal,106.7827,-6.556
Depok,Cimanggis,106.8939,-6.4274
Depok,Cinere,106.7863127368421,-6.323396421052632
Depok,Margonda,106.8313558888889,-6.3648787222222225
Jakarta Barat,Cengkareng,106.72813877033494,-6.163091942583732
Jakarta Barat,Daan Mogot,106.73575699999999,-6.156825
Jakarta Barat,Duri Kosambi,106.7083263,-6.1500321
Jakarta Barat,Gajah Mada,106.81517286206898,-6.14888651724138
Jakarta Barat,Grogol,106.7957074576271,-6.154264525423729
Jakarta Barat,Kalideres,106.70156866666667,-6.135226
Jakarta Barat,Kebon Jeruk,106.75923189177489,-6.195190961038961
Jakarta Barat,Kedoya,106.7583409868421,-6.186140671052632
Jakarta Barat,Kembangan,106.735243,-6.185323
Jakarta Barat,Palmerah,106.78429,-6.204997
Jakarta Barat,Pos Pengumben,106.765123,-6.216423
Jakarta Barat,Puri Indah,106.73453079518072,-6.185616415662651
Jakarta Barat,Slipi,106.798162,-6.200393
Jakarta Barat,Taman Sari,106.818858,-6.151431
Jakarta Barat,Tanjung Duren,106.79037689151875,-6.177329433925049
Jakarta Pusat,Bendungan Hilir,106.81425376666667,-6.212424466666667
Jakarta Pusat,Cempaka Putih,106.873191,-6.187929
Jakarta Pusat,Gatot Subroto,106.80924,-6.213072000000001
Jakarta Pusat,Gunung Sahari,106.836638,-6.148474
Jakarta Pusat,Kemayoran,106.85457561666666,-6.149166133333333
Jakarta Pusat,Mangga Besar,106.834047,-6.149717999999999
Jakarta Pusat,Mangga Dua,106.827261,-6.139958
Jakarta Pusat,Menteng,106.84103678735633,-6.193186706896552
Jakarta Pusat,Pasar Baru,106.832645,-6.16298
Jakarta Pusat,Pecenongan,106.827032,-6.164002
Jakarta Pusat,Salemba,106.85318236842105,-6.196250315789474
Jakarta Pusat,Senayan,106.791301,-6.221632
Jakarta Pusat,Senen,106.83951099999999,-6.174313
Jakarta Pusat,Slipi,106.7996818095238,-6.202642476190476
Jakarta Pusat,Sudirman,106.81860392307694,-6.208047096153846
Jakarta Pusat,Tanah Abang,106.816118125,-6.184855000000001
Jakarta Pusat,Thamrin,106.8169126455696,-6.196094405063292
Jakarta Selatan,Bintaro,106.755705125,-6.26715425
Jakarta Selatan,Casablanca,106.84297631355932,-6.223885008474576
Jakarta Selatan,Cilandak,106.801401,-6.285317333333334
Jakarta Selatan,Dharmawangsa,106.804426,-6.258746
Jakarta Selatan,Epicentrum,106.8344,-6.2175
Jakarta Selatan,Fatmawati,106.79536294594595,-6.300475081081081
Jakarta Selatan,Gandaria,106.78748907142857,-6.245341321428571
Jakarta Selatan,Gatot Subroto,106.837295,-6.240375
Jakarta Selatan,Kalibata,106.85146608333334,-6.257146333333334
Jakarta Selatan,Kebagusan,106.835418,-6.307531
Jakarta Selatan,Kebayoran Baru,106.8006155,-6.2427008
Jakarta Selatan,Kebayoran Lama,106.77354120689655,-6.235893517241379
Jakarta Selatan,Kemang,106.81172287313433,-6.257493634328358
Jakarta Selatan,Kuningan,106.83092957500001,-6.22091824
Jakarta Selatan,Lebak Bulus,106.78047657142858,-6.291277142857142
Jakarta Selatan,Mega Kuningan,106.827927,-6.228388
Jakarta Selatan,Pakubuwono,106.785471,-6.236815857142857
Jakarta Selatan,Pancoran,106.85110627804877,-6.252493375609756
Jakarta Selatan,Pasar Minggu,106.844157,-6.263361
Jakarta Selatan,Pejaten,106.82854063157895,-6.280763789473684
Jakarta Selatan,Permata Hijau,106.78372055555555,-6.221122240740741
Jakarta Selatan,Pesanggrahan,106.748074,-6.237095
Jakarta Selatan,Pondok Indah,106.78982120833334,-6.280461263888889
Jakarta Selatan,Radio Dalam,106.788245,-6.263759
Jakarta Selatan,Rasuna Said,106.83716815384615,-6.217003692307693
Jakarta Selatan,SCBD,106.81129,-6.225663
Jakarta Selatan,Semanggi,106.81896371830986,-6.226293352112676
Jakarta Selatan,Senayan,106.7939177142857,-6.222646809523809
Jakarta Selatan,Senopati,106.8062126923077,-6.228810923076923
Jakarta Selatan,Setiabudi,106.82865772413793,-6.215360551724138
Jakarta Selatan,Simprug,106.787313,-6.233928
Jakarta Selatan,Sudirman,106.8176382368421,-6.217602289473684
Jakarta Selatan,TB Simatupang,106.78995714285715,-6.2918142857142865
Jakarta Selatan,Tebet,106.84998047619048,-6.239416714285714
Jakarta Timur,Cakung,106.94831008333334,-6.203209291666666
Jakarta Timur,Cawang,106.87600857142857,-6.243791428571429
Jakarta Timur,Cibubur,106.8866,-6.369699999999999
Jakarta Timur,Cipinang,106.879075,-6.225031
Jakarta Timur,Jatinegara,106.925427,-6.203576
Jakarta Timur,Kampung Melayu,106.868902,-6.243987
Jakarta Timur,Kelapa Gading,106.90197950000001,-6.180054603448276
Jakarta Timur,MT Haryono,106.86727779452056,-6.245133602739726
Jakarta Timur,Pasar Rebo,106.86954199999998,-6.341016
